chave,NOME,UF,GEOCOD_IBGE,COD_TSE,AJUSTE
go ipameri,IPAMERI,GO,5210109,93971,
go ipiranga de goias,IPIRANGA DE GOIÁS,GO,5210158,93548,
go ipora,IPORÁ,GO,5210208,93998,
go israelandia,ISRAELÂNDIA,GO,5210307,94013,
go itaberai,ITABERAÍ,GO,5210406,94030,
go itaguari,ITAGUARI,GO,5210562,92282,
go itaguaru,ITAGUARU,GO,5210604,94072,
go itaja,ITAJÁ,GO,5210802,94110,
go itapaci,ITAPACI,GO,5210901,94137,
go itapirapua,ITAPIRAPUÃ,GO,5211008,94153,
go itapuranga,ITAPURANGA,GO,5211206,94196,
go itaruma,ITARUMÃ,GO,5211305,94218,
go itaucu,ITAUÇU,GO,5211404,94234,
go itumbiara,ITUMBIARA,GO,5211503,94250,
go ivolandia,IVOLÂNDIA,GO,5211602,94277,
go jandaia,JANDAIA,GO,5211701,94293,
go jaragua,JARAGUÁ,GO,5211800,94315,
go jatai,JATAÍ,GO,5211909,94331,
go jaupaci,JAUPACI,GO,5212006,94358,
go jesupolis,JESÚPOLIS,GO,5212055,92983,
go joviania,JOVIÂNIA,GO,5212105,94374,
go jussara,JUSSARA,GO,5212204,94390,
go lagoa santa,LAGOA SANTA,GO,5212253,93602,
go leopoldo de bulhoes,LEOPOLDO DE BULHÕES,GO,5212303,94439,
go luziania,LUZIÂNIA,GO,5212501,94455,
go mairipotaba,MAIRIPOTABA,GO,5212600,94471,
go mambai,MAMBAÍ,GO,5212709,94498,
go mara rosa,MARA ROSA,GO,5212808,94510,
go marzagao,MARZAGÃO,GO,5212907,94536,
go matrincha,MATRINCHÃ,GO,5212956,92320,
go maurilandia,MAURILÂNDIA,GO,5213004,94579,
go mimoso de goias,MIMOSO DE GOIÁS,GO,5213053,92347,
go minacu,MINAÇU,GO,5213087,96474,
go mineiros,MINEIROS,GO,5213103,94595,
go moipora,MOIPORÁ,GO,5213400,94650,
go monte alegre de goias,MONTE ALEGRE DE GOIÁS,GO,5213509,94676,
go montes claros de goias,MONTES CLAROS DE GOIÁS,GO,5213707,94714,
go montividiu,MONTIVIDIU,GO,5213756,92363,
go montividiu do norte,MONTIVIDIU DO NORTE,GO,5213772,93181,
go morrinhos,MORRINHOS,GO,5213806,94730,
go morro agudo de goias,MORRO AGUDO DE GOIÁS,GO,5213855,92169,
go mossamedes,MOSSÂMEDES,GO,5213905,94757,
go mozarlandia,MOZARLÂNDIA,GO,5214002,94773,
go mundo novo,MUNDO NOVO,GO,5214051,96512,
go mutunopolis,MUTUNÓPOLIS,GO,5214101,94790,
go nazario,NAZÁRIO,GO,5214408,94854,
go neropolis,NERÓPOLIS,GO,5214507,94870,
go niquelandia,NIQUELÂNDIA,GO,5214606,94897,
go nova america,NOVA AMÉRICA,GO,5214705,94919,
go nova aurora,NOVA AURORA,GO,5214804,94935,
go nova crixas,NOVA CRIXÁS,GO,5214838,96539,
go nova gloria,NOVA GLÓRIA,GO,5214861,96555,
go nova iguacu de goias,NOVA IGUAÇU DE GOIÁS,GO,5214879,93084,
go nova roma,NOVA ROMA,GO,5214903,94951,
go nova veneza,NOVA VENEZA,GO,5215009,94978,
go novo brasil,NOVO BRASIL,GO,5215207,95010,
go novo gama,NOVO GAMA,GO,5215231,93327,
go novo planalto,NOVO PLANALTO,GO,5215256,92444,
go orizona,ORIZONA,GO,5215306,95036,
go ouro verde de goias,OURO VERDE DE GOIÁS,GO,5215405,95052,
go ouvidor,OUVIDOR,GO,5215504,95079,
go padre bernardo,PADRE BERNARDO,GO,5215603,95095,
go palestina de goias,PALESTINA DE GOIÁS,GO,5215652,92460,
go palmeiras de goias,PALMEIRAS DE GOIÁS,GO,5215702,95117,
go palmelo,PALMELO,GO,5215801,95133,
go palminopolis,PALMINÓPOLIS,GO,5215900,95150,
go panama,PANAMÁ,GO,5216007,95176,
go paranaiguara,PARANAIGUARA,GO,5216304,94552,
go parauna,PARAÚNA,GO,5216403,95230,
go perolandia,PEROLÂNDIA,GO,5216452,93068,
go petrolina de goias,PETROLINA DE GOIÁS,GO,5216809,95311,
go pilar de goias,PILAR DE GOIÁS,GO,5216908,95354,
go piracanjuba,PIRACANJUBA,GO,5217104,95397,
go piranhas,PIRANHAS,GO,5217203,95419,
go pirenopolis,PIRENÓPOLIS,GO,5217302,95435,
go pires do rio,PIRES DO RIO,GO,5217401,95451,
go planaltina,PLANALTINA,GO,5217609,95958,
go pontalina,PONTALINA,GO,5217708,95494,
go porangatu,PORANGATU,GO,5218003,95559,
go porteirao,PORTEIRÃO,GO,5218052,93424,
go portelandia,PORTELÂNDIA,GO,5218102,95575,
go posse,POSSE,GO,5218300,95613,
go professor jamil,PROFESSOR JAMIL,GO,5218391,93041,
go quirinopolis,QUIRINÓPOLIS,GO,5218508,95630,
go rialma,RIALMA,GO,5218607,95656,
go rianapolis,RIANÁPOLIS,GO,5218706,95672,
go rio quente,RIO QUENTE,GO,5218789,92827,
go rio verde,RIO VERDE,GO,5218805,95710,
go rubiataba,RUBIATABA,GO,5218904,95737,
go sanclerlandia,SANCLERLÂNDIA,GO,5219001,95753,
go santa barbara de goias,SANTA BÁRBARA DE GOIÁS,GO,5219100,95770,
go santa cruz de goias,SANTA CRUZ DE GOIÁS,GO,5219209,95796,
go santa fe de goias,SANTA FÉ DE GOIÁS,GO,5219258,92568,
go santa helena de goias,SANTA HELENA DE GOIÁS,GO,5219308,95818,
go santa isabel,SANTA ISABEL,GO,5219357,96890,
go santa rita do araguaia,SANTA RITA DO ARAGUAIA,GO,5219407,95834,
go santa rita do novo destino,SANTA RITA DO NOVO DESTINO,GO,5219456,93440,
go santa rosa de goias,SANTA ROSA DE GOIÁS,GO,5219506,95850,
go santa tereza de goias,SANTA TEREZA DE GOIÁS,GO,5219605,95877,
go santa terezinha de goias,SANTA TEREZINHA DE GOIÁS,GO,5219704,95893,
go santo antonio da barra,SANTO ANTÔNIO DA BARRA,GO,5219712,93203,
go santo antonio de goias,SANTO ANTÔNIO DE GOIÁS,GO,5219738,92908,
go santo antonio do descoberto,SANTO ANTÔNIO DO DESCOBERTO,GO,5219753,96776,
go sao domingos,SÃO DOMINGOS,GO,5219803,95915,
go sao francisco de goias,SÃO FRANCISCO DE GOIÁS,GO,5219902,95931,
go sao joao da parauna,SÃO JOÃO DA PARAÚNA,GO,5220058,92622,
go sao joao dalianca,SÃO JOÃO D'ALIANÇA,GO,5220009,95974,
go sao luis de montes belos,SÃO LUÍS DE MONTES BELOS,GO,5220108,95990,
go sao luiz do norte,SÃO LUIZ DO NORTE,GO,5220157,92649,
go sao miguel do araguaia,SÃO MIGUEL DO ARAGUAIA,GO,5220207,96016,
go sao miguel do passa quatro,SÃO MIGUEL DO PASSA QUATRO,GO,5220264,92665,
go sao patricio,SÃO PATRÍCIO,GO,5220280,93483,
go sao simao,SÃO SIMÃO,GO,5220405,96059,
go senador canedo,SENADOR CANEDO,GO,5220454,92703,
go serranopolis,SERRANÓPOLIS,GO,5220504,96075,
go silvania,SILVÂNIA,GO,5220603,96091,
go simolandia,SIMOLÂNDIA,GO,5220686,92720,
go sitio dabadia,SÍTIO D'ABADIA,GO,5220702,96113,
go taquaral de goias,TAQUARAL DE GOIÁS,GO,5221007,96172,
go teresina de goias,TERESINA DE GOIÁS,GO,5221080,92762,
go terezopolis de goias,TEREZÓPOLIS DE GOIÁS,GO,5221197,93220,
go tres ranchos,TRÊS RANCHOS,GO,5221304,96237,
go trindade,TRINDADE,GO,5221403,96253,
go trombas,TROMBAS,GO,5221452,92789,
go turvania,TURVÂNIA,GO,5221502,96318,
go turvelandia,TURVELÂNDIA,GO,5221551,92800,
go uirapuru,UIRAPURU,GO,5221577,93246,
go uruacu,URUAÇU,GO,5221601,96334,
go uruana,URUANA,GO,5221700,96350,
go urutai,URUTAÍ,GO,5221809,96377,
go valparaiso de goias,VALPARAÍSO DE GOIÁS,GO,5221858,93300,
go varjao,VARJÃO,GO,5221908,96393,
go vianopolis,VIANÓPOLIS,GO,5222005,96415,
go vicentinopolis,VICENTINÓPOLIS,GO,5222054,96571,
go vila boa,VILA BOA,GO,5222203,93289,
go vila propicio,VILA PROPÍCIO,GO,5222302,93505,
ma acailandia,AÇAILÂNDIA,MA,2100055,9610,
ma afonso cunha,AFONSO CUNHA,MA,2100105,7013,
ma agua doce do maranhao,ÁGUA DOCE DO MARANHÃO,MA,2100154,7005,
ma alcantara,ALCÂNTARA,MA,2100204,7030,
ma aldeias altas,ALDEIAS ALTAS,MA,2100303,7056,
ma altamira do maranhao,ALTAMIRA DO MARANHÃO,MA,2100402,7072,
ma alto alegre do maranhao,ALTO ALEGRE DO MARANHÃO,MA,2100436,7021,
ma alto alegre do pindare,ALTO ALEGRE DO PINDARÉ,MA,2100477,7048,
ma alto parnaiba,ALTO PARNAÍBA,MA,2100501,7099,
ma amapa do maranhao,AMAPÁ DO MARANHÃO,MA,2100550,7080,
ma amarante do maranhao,AMARANTE DO MARANHÃO,MA,2100600,7110,
ma anajatuba,ANAJATUBA,MA,2100709,7137,
ma anapurus,ANAPURUS,MA,2100808,7153,
ma apicum-acu,APICUM-AÇU,MA,2100832,7064,
ma araguana,ARAGUANÃ,MA,2100873,7102,
ma araioses,ARAIOSES,MA,2100907,7170,
ma arame,ARAME,MA,2100956,9679,
ma arari,ARARI,MA,2101004,7196,
ma axixa,AXIXÁ,MA,2101103,7218,
ma bacabal,BACABAL,MA,2101202,7234,
ma bacabeira,BACABEIRA,MA,2101251,7129,
ma bacuri,BACURI,MA,2101301,7250,
ma bacurituba,BACURITUBA,MA,2101350,7145,
ma balsas,BALSAS,MA,2101400,7277,
ma barao de grajau,BARÃO DE GRAJAÚ,MA,2101509,7293,
ma barra do corda,BARRA DO CORDA,MA,2101608,7315,
ma barreirinhas,BARREIRINHAS,MA,2101707,7331,
ma bela vista do maranhao,BELA VISTA DO MARANHÃO,MA,2101772,7188,
ma belagua,BELÁGUA,MA,2101731,7161,
ma benedito leite,BENEDITO LEITE,MA,2101806,7358,
ma bequimao,BEQUIMÃO,MA,2101905,7374,
ma bernardo do mearim,BERNARDO DO MEARIM,MA,2101939,7200,
ma boa vista do gurupi,BOA VISTA DO GURUPI,MA,2101970,7323,
ma bom jardim,BOM JARDIM,MA,2102002,9555,
ma bom jesus das selvas,BOM JESUS DAS SELVAS,MA,2102036,7269,
ma bom lugar,BOM LUGAR,MA,2102077,7285,
ma brejo,BREJO,MA,2102101,7390,
ma brejo de areia,BREJO DE AREIA,MA,2102150,7307,
ma buriti,BURITI,MA,2102200,7412,
ma buriti bravo,BURITI BRAVO,MA,2102309,7439,
ma buriticupu,BURITICUPU,MA,2102325,7340,
ma buritirana,BURITIRANA,MA,2102358,7366,
ma cachoeira grande,CACHOEIRA GRANDE,MA,2102374,7226,
ma cajapio,CAJAPIÓ,MA,2102408,7455,
ma cajari,CAJARI,MA,2102507,7471,
ma campestre do maranhao,CAMPESTRE DO MARANHÃO,MA,2102556,7382,
ma candido mendes,CÂNDIDO MENDES,MA,2102606,7498,
ma cantanhede,CANTANHEDE,MA,2102705,7510,
ma capinzal do norte,CAPINZAL DO NORTE,MA,2102754,7404,
ma carolina,CAROLINA,MA,2102804,7536,
ma carutapera,CARUTAPERA,MA,2102903,7552,
ma caxias,CAXIAS,MA,2103000,7579,
ma cedral,CEDRAL,MA,2103109,7595,
ma central do maranhao,CENTRAL DO MARANHÃO,MA,2103125,7420,
ma centro do guilherme,CENTRO DO GUILHERME,MA,2103158,7447,
ma centro novo do maranhao,CENTRO NOVO DO MARANHÃO,MA,2103174,7463,
ma chapadinha,CHAPADINHA,MA,2103208,7617,
ma cidelandia,CIDELÂNDIA,MA,2103257,7480,
ma codo,CODÓ,MA,2103307,7633,
ma coelho neto,COELHO NETO,MA,2103406,7650,
ma colinas,COLINAS,MA,2103505,7676,
ma conceicao do lago-acu,CONCEIÇÃO DO LAGO-AÇU,MA,2103554,7501,
ma coroata,COROATÁ,MA,2103604,7692,
ma cururupu,CURURUPU,MA,2103703,7714,
ma davinopolis,DAVINÓPOLIS,MA,2103752,7242,
ma dom pedro,DOM PEDRO,MA,2103802,7730,
ma duque bacelar,DUQUE BACELAR,MA,2103901,7757,
ma esperantinopolis,ESPERANTINÓPOLIS,MA,2104008,7773,
ma estreito,ESTREITO,MA,2104057,9636,
ma feira nova do maranhao,FEIRA NOVA DO MARANHÃO,MA,2104073,7528,
ma fernando falcao,FERNANDO FALCÃO,MA,2104081,7544,
ma formosa da serra negra,FORMOSA DA SERRA NEGRA,MA,2104099,7560,
ma fortaleza dos nogueiras,FORTALEZA DOS NOGUEIRAS,MA,2104107,7790,
ma fortuna,FORTUNA,MA,2104206,7811,
ma godofredo viana,GODOFREDO VIANA,MA,2104305,7838,
ma goncalves dias,GONÇALVES DIAS,MA,2104404,7854,
ma governador archer,GOVERNADOR ARCHER,MA,2104503,7870,
ma governador edison lobao,GOVERNADOR EDISON LOBÃO,MA,2104552,7609,
ma governador eugenio barros,GOVERNADOR EUGÊNIO BARROS,MA,2104602,7897,
ma governador luiz rocha,GOVERNADOR LUIZ ROCHA,MA,2104628,7625,
ma governador newton bello,GOVERNADOR NEWTON BELLO,MA,2104651,7641,
ma governador nunes freire,GOVERNADOR NUNES FREIRE,MA,2104677,7668,
ma graca aranha,GRAÇA ARANHA,MA,2104701,7919,
ma grajau,GRAJAÚ,MA,2104800,7935,
ma guimaraes,GUIMARÃES,MA,2104909,7951,
ma humberto de campos,HUMBERTO DE CAMPOS,MA,2105005,7978,
ma icatu,ICATU,MA,2105104,7994,
ma igarape do meio,IGARAPÉ DO MEIO,MA,2105153,7684,
ma igarape grande,IGARAPÉ GRANDE,MA,2105203,8010,
ma imperatriz,IMPERATRIZ,MA,2105302,8036,
ma itaipava do grajau,ITAIPAVA DO GRAJAÚ,MA,2105351,7706,
ma itapecuru mirim,ITAPECURU MIRIM,MA,2105401,8079,
ma itinga do maranhao,ITINGA DO MARANHÃO,MA,2105427,7722,
ma jatoba,JATOBÁ,MA,2105450,7749,
ma jenipapo dos vieiras,JENIPAPO DOS VIEIRAS,MA,2105476,7765,
ma joao lisboa,JOÃO LISBOA,MA,2105500,8095,
ma joselandia,JOSELÂNDIA,MA,2105609,8117,
ma junco do maranhao,JUNCO DO MARANHÃO,MA,2105658,7781,
ma lago da pedra,LAGO DA PEDRA,MA,2105708,8133,
ma lago do junco,LAGO DO JUNCO,MA,2105807,8150,
ma lago dos rodrigues,LAGO DOS RODRIGUES,MA,2105948,7803,
ma lago verde,LAGO VERDE,MA,2105906,8176,
ma lagoa do mato,LAGOA DO MATO,MA,2105922,7820,
ma lagoa grande do maranhao,LAGOA GRANDE DO MARANHÃO,MA,2105963,7846,
ma lajeado novo,LAJEADO NOVO,MA,2105989,7862,
ma lima campos,LIMA CAMPOS,MA,2106003,8192,
ma loreto,LORETO,MA,2106102,8214,
ma luis domingues,LUÍS DOMINGUES,MA,2106201,8230,
ma magalhaes de almeida,MAGALHÃES DE ALMEIDA,MA,2106300,8257,
ma maracacume,MARACAÇUMÉ,MA,2106326,7889,
ma maraja do sena,MARAJÁ DO SENA,MA,2106359,7900,
ma maranhaozinho,MARANHÃOZINHO,MA,2106375,7927,
ma mata roma,MATA ROMA,MA,2106409,8273,
ma matinha,MATINHA,MA,2106508,8290,
ma matoes,MATÕES,MA,2106607,8311,
ma matoes do norte,MATÕES DO NORTE,MA,2106631,7943,
ma milagres do maranhao,MILAGRES DO MARANHÃO,MA,2106672,7960,
ma mirador,MIRADOR,MA,2106706,8338,
ma miranda do norte,MIRANDA DO NORTE,MA,2106755,9695,
ma mirinzal,MIRINZAL,MA,2106805,8354,
ma moncao,MONÇÃO,MA,2106904,8370,
ma montes altos,MONTES ALTOS,MA,2107001,8397,
ma morros,MORROS,MA,2107100,8419,
ma nina rodrigues,NINA RODRIGUES,MA,2107209,8435,
ma nova colinas,NOVA COLINAS,MA,2107258,7986,
ma nova iorque,NOVA IORQUE,MA,2107308,8451,
ma nova olinda do maranhao,NOVA OLINDA DO MARANHÃO,MA,2107357,8001,
ma olho dagua das cunhas,OLHO D'ÁGUA DAS CUNHÃS,MA,2107407,8478,
ma olinda nova do maranhao,OLINDA NOVA DO MARANHÃO,MA,2107456,8028,
ma paco do lumiar,PAÇO DO LUMIAR,MA,2107506,8494,
ma palmeirandia,PALMEIRÂNDIA,MA,2107605,8516,
ma paraibano,PARAIBANO,MA,2107704,8532,
ma parnarama,PARNARAMA,MA,2107803,8559,
ma passagem franca,PASSAGEM FRANCA,MA,2107902,8575,
ma pastos bons,PASTOS BONS,MA,2108009,8591,
ma paulino neves,PAULINO NEVES,MA,2108058,8044,
ma paulo ramos,PAULO RAMOS,MA,2108108,9598,
ma pedreiras,PEDREIRAS,MA,2108207,8613,
ma pedro do rosario,PEDRO DO ROSÁRIO,MA,2108256,8060,
ma penalva,PENALVA,MA,2108306,8630,
ma peri mirim,PERI MIRIM,MA,2108405,8656,
ma peritoro,PERITORÓ,MA,2108454,8087,
ma pindare-mirim,PINDARÉ-MIRIM,MA,2108504,8672,
ma pinheiro,PINHEIRO,MA,2108603,8699,
ma pio xii,PIO XII,MA,2108702,8710,
ma pirapemas,PIRAPEMAS,MA,2108801,8737,
ma pocao de pedras,POÇÃO DE PEDRAS,MA,2108900,8753,
ma porto franco,PORTO FRANCO,MA,2109007,8770,
ma porto rico do maranhao,PORTO RICO DO MARANHÃO,MA,2109056,8109,
ma presidente dutra,PRESIDENTE DUTRA,MA,2109106,8796,
ma presidente juscelino,PRESIDENTE JUSCELINO,MA,2109205,8818,
ma presidente medici,PRESIDENTE MÉDICI,MA,2109239,8125,
ma presidente sarney,PRESIDENTE SARNEY,MA,2109270,8141,
ma presidente vargas,PRESIDENTE VARGAS,MA,2109304,8834,
ma primeira cruz,PRIMEIRA CRUZ,MA,2109403,8850,
ma raposa,RAPOSA,MA,2109452,8168,
ma riachao,RIACHÃO,MA,2109502,8877,
ma ribamar fiquene,RIBAMAR FIQUENE,MA,2109551,8184,
ma rosario,ROSÁRIO,MA,2109601,8915,
ma sambaiba,SAMBAÍBA,MA,2109700,8931,
ma santa filomena do maranhao,SANTA FILOMENA DO MARANHÃO,MA,2109759,8206,
ma santa helena,SANTA HELENA,MA,2109809,8958,
ma santa ines,SANTA INÊS,MA,2109908,9571,
ma santa luzia,SANTA LUZIA,MA,2110005,8974,
ma santa luzia do parua,SANTA LUZIA DO PARUÁ,MA,2110039,9652,
ma santa quiteria do maranhao,SANTA QUITÉRIA DO MARANHÃO,MA,2110104,8990,
ma santa rita,SANTA RITA,MA,2110203,9016,
ma santana do maranhao,SANTANA DO MARANHÃO,MA,2110237,8222,
ma santo amaro do maranhao,SANTO AMARO DO MARANHÃO,MA,2110278,8249,
ma santo antonio dos lopes,SANTO ANTÔNIO DOS LOPES,MA,2110302,9032,
ma sao benedito do rio preto,SÃO BENEDITO DO RIO PRETO,MA,2110401,9059,
ma sao bento,SÃO BENTO,MA,2110500,9075,
ma sao bernardo,SÃO BERNARDO,MA,2110609,9091,
ma sao domingos do azeitao,SÃO DOMINGOS DO AZEITÃO,MA,2110658,8265,
ma sao domingos do maranhao,SÃO DOMINGOS DO MARANHÃO,MA,2110708,9113,
ma sao felix de balsas,SÃO FÉLIX DE BALSAS,MA,2110807,9130,
ma sao francisco do brejao,SÃO FRANCISCO DO BREJÃO,MA,2110856,8281,
ma sao francisco do maranhao,SÃO FRANCISCO DO MARANHÃO,MA,2110906,9156,
ma sao joao batista,SÃO JOÃO BATISTA,MA,2111003,9172,
ma sao joao do caru,SÃO JOÃO DO CARÚ,MA,2111029,8303,
ma sao joao do paraiso,SÃO JOÃO DO PARAÍSO,MA,2111052,8320,
ma sao joao do soter,SÃO JOÃO DO SOTER,MA,2111078,8346,
ma sao joao dos patos,SÃO JOÃO DOS PATOS,MA,2111102,9199,
ma sao jose de ribamar,SÃO JOSÉ DE RIBAMAR,MA,2111201,8893,
ma sao jose dos basilios,SÃO JOSÉ DOS BASÍLIOS,MA,2111250,8362,
ma sao luis,SÃO LUÍS,MA,2111300,9210,
ma sao luis gonzaga do maranhao,SÃO LUÍS GONZAGA DO MARANHÃO,MA,2111409,8052,
ma sao mateus do maranhao,SÃO MATEUS DO MARANHÃO,MA,2111508,9237,
ma sao pedro da agua branca,SÃO PEDRO DA ÁGUA BRANCA,MA,2111532,8389,
ma sao pedro dos crentes,SÃO PEDRO DOS CRENTES,MA,2111573,8400,
ma sao raimundo das mangabeiras,SÃO RAIMUNDO DAS MANGABEIRAS,MA,2111607,9253,
ma sao raimundo do doca bezerra,SÃO RAIMUNDO DO DOCA BEZERRA,MA,2111631,8427,
ma sao roberto,SÃO ROBERTO,MA,2111672,8443,
ma sao vicente ferrer,SÃO VICENTE FERRER,MA,2111706,9270,
ma satubinha,SATUBINHA,MA,2111722,8460,
ma senador alexandre costa,SENADOR ALEXANDRE COSTA,MA,2111748,8486,
ma senador la rocque,SENADOR LA ROCQUE,MA,2111763,8508,
ma serrano do maranhao,SERRANO DO MARANHÃO,MA,2111789,8524,
ma sitio novo,SÍTIO NOVO,MA,2111805,9296,
ma sucupira do norte,SUCUPIRA DO NORTE,MA,2111904,9318,
ma sucupira do riachao,SUCUPIRA DO RIACHÃO,MA,2111953,8540,
ma tasso fragoso,TASSO FRAGOSO,MA,2112001,9334,
ma timbiras,TIMBIRAS,MA,2112100,9350,
ma timon,TIMON,MA,2112209,9377,
ma trizidela do vale,TRIZIDELA DO VALE,MA,2112233,8567,
ma tufilandia,TUFILÂNDIA,MA,2112274,8583,
ma tuntum,TUNTUM,MA,2112308,9393,
ma turiacu,TURIAÇU,MA,2112407,9415,
ma turilandia,TURILÂNDIA,MA,2112456,8605,
ma tutoia,TUTÓIA,MA,2112506,9431,
ma urbano santos,URBANO SANTOS,MA,2112605,9458,
ma vargem grande,VARGEM GRANDE,MA,2112704,9474,
ma viana,VIANA,MA,2112803,9490,
ma vila nova dos martirios,VILA NOVA DOS MARTÍRIOS,MA,2112852,8621,
ma vitoria do mearim,VITÓRIA DO MEARIM,MA,2112902,9512,
ma vitorino freire,VITORINO FREIRE,MA,2113009,9539,
ma ze doca,ZÉ DOCA,MA,2114007,9717,
mg abadia dos dourados,ABADIA DOS DOURADOS,MG,3100104,40010,
mg abaete,ABAETÉ,MG,3100203,40037,
mg abre campo,ABRE CAMPO,MG,3100302,40053,
mg acaiaca,ACAIACA,MG,3100401,40070,
mg acucena,AÇUCENA,MG,3100500,40096,
mg agua boa,ÁGUA BOA,MG,3100609,40118,
mg agua comprida,ÁGUA COMPRIDA,MG,3100708,40134,
mg aguanil,AGUANIL,MG,3100807,40150,
mg aguas formosas,ÁGUAS FORMOSAS,MG,3100906,40177,
mg aguas vermelhas,ÁGUAS VERMELHAS,MG,3101003,40193,
mg aimores,AIMORÉS,MG,3101102,40215,
mg aiuruoca,AIURUOCA,MG,3101201,40231,
mg alagoa,ALAGOA,MG,3101300,40258,
mg albertina,ALBERTINA,MG,3101409,40274,
mg alem paraiba,ALÉM PARAÍBA,MG,3101508,40290,
mg alfenas,ALFENAS,MG,3101607,40312,
mg alfredo vasconcelos,ALFREDO VASCONCELOS,MG,3101631,40002,
mg almenara,ALMENARA,MG,3101706,40339,
mg alpercata,ALPERCATA,MG,3101805,40355,
mg alpinopolis,ALPINÓPOLIS,MG,3101904,40371,
mg alterosa,ALTEROSA,MG,3102001,40398,
mg alto caparao,ALTO CAPARAÓ,MG,3102050,41661,
mg alto jequitiba,ALTO JEQUITIBÁ,MG,3153509,50695,
mg alto rio doce,ALTO RIO DOCE,MG,3102100,40410,
mg alvarenga,ALVARENGA,MG,3102209,40436,
mg alvinopolis,ALVINÓPOLIS,MG,3102308,40452,
mg alvorada de minas,ALVORADA DE MINAS,MG,3102407,40479,
mg amparo do serra,AMPARO DO SERRA,MG,3102506,40495,
mg andradas,ANDRADAS,MG,3102605,40517,
mg andrelandia,ANDRELÂNDIA,MG,3102803,40550,
mg angelandia,ANGELÂNDIA,MG,3102852,41688,
mg antonio carlos,ANTÔNIO CARLOS,MG,3102902,40576,
mg antonio dias,ANTÔNIO DIAS,MG,3103009,40592,
mg antonio prado de minas,ANTÔNIO PRADO DE MINAS,MG,3103108,40614,
mg aracai,ARAÇAÍ,MG,3103207,40630,
mg aracitaba,ARACITABA,MG,3103306,40657,
mg aracuai,ARAÇUAÍ,MG,3103405,40673,
mg araguari,ARAGUARI,MG,3103504,40690,
mg arantina,ARANTINA,MG,3103603,40711,
mg araponga,ARAPONGA,MG,3103702,40738,
mg arapora,ARAPORÃ,MG,3103751,40029,
mg arapua,ARAPUÁ,MG,3103801,40754,
mg araujos,ARAÚJOS,MG,3103900,40770,
mg araxa,ARAXÁ,MG,3104007,40797,
mg arceburgo,ARCEBURGO,MG,3104106,40819,
mg arcos,ARCOS,MG,3104205,40835,
mg areado,AREADO,MG,3104304,40851,
mg argirita,ARGIRITA,MG,3104403,40878,
mg aricanduva,ARICANDUVA,MG,3104452,41700,
mg arinos,ARINOS,MG,3104502,40894,
mg astolfo dutra,ASTOLFO DUTRA,MG,3104601,40916,
mg ataleia,ATALÉIA,MG,3104700,40932,
mg augusto de lima,AUGUSTO DE LIMA,MG,3104809,40959,
mg baependi,BAEPENDI,MG,3104908,40975,
mg baldim,BALDIM,MG,3105004,40991,
mg bambui,BAMBUÍ,MG,3105103,41017,
mg bandeira,BANDEIRA,MG,3105202,41033,
mg bandeira do sul,BANDEIRA DO SUL,MG,3105301,41050,
mg barao de cocais,BARÃO DE COCAIS,MG,3105400,41076,
mg barao de monte alto,BARÃO DE MONTE ALTO,MG,3105509,41092,
mg barbacena,BARBACENA,MG,3105608,41114,
mg barra longa,BARRA LONGA,MG,3105707,41130,
mg barroso,BARROSO,MG,3105905,41173,
mg bela vista de minas,BELA VISTA DE MINAS,MG,3106002,41190,
mg belmiro braga,BELMIRO BRAGA,MG,3106101,41211,
mg belo horizonte,BELO HORIZONTE,MG,3106200,41238,
mg belo oriente,BELO ORIENTE,MG,3106309,41254,
mg belo vale,BELO VALE,MG,3106408,41270,
mg berilo,BERILO,MG,3106507,41297,
mg berizal,BERIZAL,MG,3106655,41726,
mg bertopolis,BERTÓPOLIS,MG,3106606,41319,
mg betim,BETIM,MG,3106705,41335,
mg bias fortes,BIAS FORTES,MG,3106804,41351,
mg bicas,BICAS,MG,3106903,41378,
mg biquinhas,BIQUINHAS,MG,3107000,41394,
mg boa esperanca,BOA ESPERANÇA,MG,3107109,41416,
mg bocaina de minas,BOCAINA DE MINAS,MG,3107208,41432,
mg bocaiuva,BOCAIÚVA,MG,3107307,41459,
mg bom despacho,BOM DESPACHO,MG,3107406,41475,
mg bom jardim de minas,BOM JARDIM DE MINAS,MG,3107505,41491,
mg bom jesus da penha,BOM JESUS DA PENHA,MG,3107604,41513,
mg bom jesus do amparo,BOM JESUS DO AMPARO,MG,3107703,41530,
mg bom jesus do galho,BOM JESUS DO GALHO,MG,3107802,41556,
mg bom repouso,BOM REPOUSO,MG,3107901,41572,
mg bom sucesso,BOM SUCESSO,MG,3108008,41599,
mg bonfim,BONFIM,MG,3108107,41610,
mg bonfinopolis de minas,BONFINÓPOLIS DE MINAS,MG,3108206,41637,
mg bonito de minas,BONITO DE MINAS,MG,3108255,41742,
mg borda da mata,BORDA DA MATA,MG,3108305,41653,
mg botelhos,BOTELHOS,MG,3108404,41670,
mg botumirim,BOTUMIRIM,MG,3108503,41696,
mg bras pires,BRÁS PIRES,MG,3108701,41734,
mg brasilandia de minas,BRASILÂNDIA DE MINAS,MG,3108552,40045,
mg brasilia de minas,BRASÍLIA DE MINAS,MG,3108602,41718,
mg braunas,BRAÚNAS,MG,3108800,41750,
mg brazopolis,BRAZÓPOLIS,MG,3108909,41777,
